Period_unique,Cam,Period,Duration_sec,start_datetime,end_datetime,year,mast,logged
AG29.20.1,AG29,1,1722360,7/28/2020 13:45,8/17/2020 12:11,2020,0,1
AG29.20.2,AG29,2,590100,8/24/2020 12:36,8/31/2020 8:31,2020,0,1
AG30.13.1,AG30,1,5282400,6/26/2013 9:50,8/26/2013 13:10,2013,0,1
AG30.14.1,AG30,1,8034480,6/2/2014 10:42,9/3/2014 10:30,2014,1,1
AG30.15.1,AG30,1,8466300,6/8/2015 11:00,9/14/2015 10:45,2015,1,1
AG30.16.1,AG30,1,1848540,7/23/2016 9:26,8/13/2016 18:55,2016,0,1
AG30.18.1,AG30,1,7946400,6/27/2018 10:23,9/27/2018 9:43,2018,0,1
AG30.19.1,AG30,1,6391500,5/31/2019 9:54,8/13/2019 9:19,2019,1,1
AG30.20.1,AG30,1,2865600,6/24/2020 10:52,7/27/2020 14:52,2020,0,1
AG31.13.1,AG31,1,510120,6/26/2013 11:07,7/2/2013 8:49,2013,0,1
AG31.13.2,AG31,2,2086740,8/2/2013 10:37,8/26/2013 14:16,2013,0,1
AG31.14.1,AG31,1,8817780,6/4/2014 9:20,9/14/2014 10:43,2014,1,1
AG31.15.1,AG31,1,7848360,6/15/2015 13:24,9/14/2015 9:30,2015,1,1
AG31.16.1,AG31,1,4136760,5/11/2016 13:40,6/28/2016 10:46,2016,0,1
AG31.18.1,AG31,1,1137780,6/26/2018 11:00,7/9/2018 15:03,2018,0,1
AG31.18.2,AG31,2,161460,7/25/2018 11:39,7/27/2018 8:30,2018,0,1
AG31.18.3,AG31,3,108240,8/3/2018 11:21,8/4/2018 17:25,2018,0,1
AG31.18.4,AG31,4,0,8/15/2018 11:28,8/15/2018 11:28,2018,0,1
AG31.19.1,AG31,1,1298520,5/31/2019 11:18,6/15/2019 12:00,2019,1,1
AG31.19.2,AG31,2,3277020,6/30/2019 17:03,8/7/2019 15:20,2019,1,1
AG31.20.1,AG31,1,2410800,6/23/2020 10:50,7/21/2020 8:30,2020,0,1
AG32.13.1,AG32,1,5282100,6/26/2013 11:46,8/26/2013 15:01,2013,0,1
AG32.14.1,AG32,1,8739960,6/4/2014 8:20,9/13/2014 12:06,2014,1,1
AG32.15.1,AG32,1,8801700,6/14/2015 13:50,9/24/2015 10:45,2015,1,1
AG32.16.1,AG32,1,3286680,5/12/2016 9:08,6/19/2016 10:06,2016,0,1
AG32.18.1,AG32,1,7512420,6/26/2018 11:33,9/21/2018 10:20,2018,0,1
AG32.19.1,AG32,1,2406360,5/31/2019 12:04,6/28/2019 8:30,2019,1,1
AG32.19.2,AG32,2,411720,6/30/2019 11:44,7/5/2019 6:06,2019,1,1
AG32.19.3,AG32,3,2505360,7/14/2019 16:25,8/12/2019 16:21,2019,1,1
AG33.13.1,AG33,1,5437920,6/26/2013 12:20,8/28/2013 10:52,2013,0,1
AG33.14.1,AG33,1,8803620,6/3/2014 14:15,9/13/2014 11:42,2014,1,1
AG33.15.1,AG33,1,4095600,6/14/2015 13:50,7/31/2015 23:30,2015,1,1
AG33.15.2,AG33,2,2161800,8/30/2015 9:45,9/24/2015 10:15,2015,1,1
AG33.18.1,AG33,1,6121980,6/26/2018 11:57,9/5/2018 8:30,2018,0,1
AG33.19.1,AG33,1,1974120,6/1/2019 12:08,6/24/2019 8:30,2019,1,1
AG33.19.2,AG33,2,1095000,6/30/2019 16:20,7/13/2019 8:30,2019,1,1
AG33.19.3,AG33,3,2574000,7/14/2019 16:00,8/13/2019 11:00,2019,1,1
AG33.20.1,AG33,1,2950320,6/23/2020 10:03,7/27/2020 13:35,2020,0,1
AG34.13.1,AG34,1,5111640,6/27/2013 8:56,8/25/2013 12:50,2013,0,1
AG34.14.1,AG34,1,6665040,6/29/2014 8:56,9/14/2014 12:20,2014,1,1
AG34.15.1,AG34,1,9053100,6/14/2015 15:15,9/27/2015 10:00,2015,1,1
AG34.16.1,AG34,1,4572900,7/20/2016 10:15,9/11/2016 8:30,2016,0,1
AG34.18.1,AG34,1,7521900,6/27/2018 8:26,9/22/2018 9:51,2018,0,1
AG34.19.1,AG34,1,6389640,5/30/2019 10:59,8/12/2019 9:53,2019,1,1
AG34.20.1,AG34,1,375300,7/28/2020 11:31,8/1/2020 19:46,2020,0,1
AG34.20.2,AG34,2,2414640,8/10/2020 11:56,9/7/2020 10:40,2020,0,1
